leiden_sub,cell_id,cell_label,evidence,table,table_count,references,shared_markers,asctb_markers
"0,0",CL:0000540,neuron,5,spinal-cord,1,https://doi.org/10.1016/j.neuron.2023.01.007,SOX5,CALCB; ISM1; LMO3; CARTPT; NMU; IGF1; TAC1; SOX5
"0,0",CL:0000740,retinal ganglion cell,1,eye,1,https://doi.org/10.1017/S0952523819000087; https://doi.org/10.1016/j.cell.2019.01.004,RBPMS,POU4F1; NEFL; NEFM; TUBB; RBPMS; SLC17A6; POU4F3; OPN4; POU4F2; THY1; SNCG
"0,0",PCL:0051030,Fbl_29 fibroblast (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BMPR1B,EBF2; SLC2A1; BMPR1B
"0,0",PCL:0015082,Exc L3 THEMIS ENPEP primary motor cortex glutamatergic neuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,LAMA2,FAP; LAMA2
"0,0",PCL:0051438,Midi_437 midbrain-derived inhibitory neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BMPR1B,CH17-174L20.1; OTX2-AS1; BMPR1B; RORB
"0,0",PCL:0051372,Splat_371 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BNC2,BNC2; NPSR1; CPA6
"0,0",PCL:0051041,Oligo_40 oligodendrocyte (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,ERBB4,ERBB4; OPALIN; PLP1
"0,0",PCL:0051427,EMSN_426 medium spiny neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,MEIS1,MEIS1; RP11-537P24.1; TSHZ1
"0,0",PCL:0051052,Bgl_51 Bergmann glial cell (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,LAMA2,LAMA2; LINC01727
"0,0",CL:0000972,class switched memory B cell,1,thymus,1,https://doi.org/10.1126/sciimmunol.aah4447; https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224,ADAM28,TNFRSF13B; CD19; CD27; LY86; IGHA1; HLA-DQA1; GPR183; MS4A1; CRIP1; HLA-DRA; ADAM28; BANK1
"0,0",PCL:0051437,Midi_436 midbrain-derived inhibitory neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BMPR1B,OTX2-AS1; HMCN1; BMPR1B
"0,0",PCL:0051306,CBI_305 cerebellar inhibitory GABAergic interneuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BMPR1B,NTN1; LINC02552; TFAP2B; BMPR1B
"0,0",PCL:0051422,Splat_421 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,ESR1,ESR1; STK32B
"0,0",PCL:0051129,ULIT_128 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,LAMA2,RP11-387P12.1; LAMA2; LINC02055; COL5A2
"0,0",PCL:0015077,Exc L2-3 LINC00507 DSG3 primary motor cortex glutamatergic neuron (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,BMPR1B,BMPR1B; BDNF
"0,0",PCL:0051426,Splat_425 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,ESR1,SATB1-AS1; NR2F2-AS1; ESR1; LHX6
"0,0",PCL:0051018,VendV_17 vein endothelial cell (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,IL1R1,SRGN; IL1R1
"0,0",PCL:0051340,Splat_339 neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,MEIS1,MEIS1; LINC01798; SLC6A5
"0,0",PCL:0051229,EMSN_228 medium spiny neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,MEIS1,MEIS1; NPFFR2; ADAMTSL1; RP11-154H17.1; SEMA3C
"0,0",PCL:0051230,EMSN_229 medium spiny neuron (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,MEIS1,PTH2R; MEIS1; ADAMTSL1; CACNG5; TSHZ1
"0,0",PCL:0051032,Fbl_31 arachnoid barrier cell (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BNC2,PTGDR; BNC2
"0,0",CL:0000970,unswitched memory B cell,1,thymus,1,https://doi.org/10.1126/sciimmunol.aah4447; https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224,ADAM28,GPR183; HLA-DRA; ADAM28; BANK1; TNFRSF13B; IGHA1; HLA-DQA1; LY86; CRIP1; MS4A1; CD19; IGHM; CD27
"0,1",CL:1000321,large intestine crypt goblet cell,22,large-intestine,1,https://doi.org/10.1038/s42003-020-01181-z,MUC2,MUC2; KRT20
"0,1",PCL:0051038,COP_37 committed oligodendrocyte precursor (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BCAS1,BCAS1; PRRX1; GPR17
"0,1",CL:0009074,medullary thymic epithelial cell type 4,1,thymus,1,https://doi.org/10.3791/50951; https://doi.org/10.1038/s41586-018-0345-2; https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224,HEPACAM2,PTPRC; IRAG2; KRT8; FOXI1; DCLK1; KRT18; ANXA4; RASSF6; ANXA1; CDR2; EPCAM; HEPACAM2; BMX
"0,1",PCL:0051039,COP_38 committed oligodendrocyte precursor (Hsap),1,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,BCAS1,RP11-89N17.4; BCAS1
